12:15:01 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- 'question' is undefined
12:15:41 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- Could not build url for endpoint 'edit_questions' with values ['question_id']. Did you forget to specify values ['questions_id']?
12:15:43 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- Could not build url for endpoint 'edit_questions' with values ['question_id']. Did you forget to specify values ['questions_id']?
12:16:09 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- expected token ':', got '}'
12:17:18 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- expected token ':', got '}'
12:18:39 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- expected token ':', got '}'
12:19:08 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- expected token ':', got '}'
12:19:29 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 1823, in all_exception_handler() -- expected token ':', got '}'
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:15 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
12:20:16 12.04.2023 -- C:\Users\miald\storage\Progarmming\Frilance\CodeRocksBeerTeam\server.py, line 870, in <module>() -- [WinError 10038] Сделана попытка выполнить операцию на объекте, не являющемся сокетом
